电影名字,播放数量,弹幕数量,追剧数量,投币数量,点赞数量,标签,分数,打分人数,影片时长(分钟),长评数量,短评数量,简介,
大学生士兵的故事,322000,1776,3574,315,826,,暂无评分,评分人数不足,已完结, 全50集,0,15,简介：八班由孙大鹏（孙小鹏饰）、余丰（顾宇峰饰）、徐帅（徐海乔饰）等新兵组成，班长由老兵王大磊（王磊饰）担任。由于学历、年龄不同，军训开始后，王大磊即刻与他们发生了激烈冲突，大学生士兵们要求更换班长，而王大磊也觉着实在跟他们搞不来，提出要到别的班去，领导上知道后不置可否。新兵们思想活跃，每天都能整点事出来，天天麻烦矛盾不断。女大学生组成的九班巾帼不让须眉，事事与八班较劲，这更令王大磊头疼。就这样，在三个月的军训中，这帮个性鲜明的大学生上演了一出出令人捧腹的军营喜剧......,
思·享2022,427000,1695,13000,3548,11000,人文社会,9.8,202,已完结, 全1集,0,51,简介：东南卫视跨年特别节目《思·享2022》邀请来自海峡两岸及海外的一流学者和特邀嘉宾，通过现场论道和视频连线的方式，一起“观察台海、读懂中国、看懂世界”。节目分为上下半场，上半场一同“观察台海脉动，展望两岸关系”，下半场关注“疫情之下的世界图景”“中国共产党百年奋斗的世界意义”和“走向共同富裕”。站在新一年的入口，一起感受思想的碰撞，共享与众不同的跨年之夜。,
猪屁登,120000000,11000,20000,8677,96000,搞笑日常治愈校园,暂无评分,评分人数不足,连载中,19,1173,简介：主人公猪屁登是一只有爱的正能量小猪，立足于弘扬社会主义核心价值观，在不同的生活场景中，发生了一系列传递爱与温暖的正能量故事，从而影响和带动身边人一起传递正能量,
卡特教练,241000,4016,15000,1845,7399,剧情,9.8,385,136,0,94,简介：《卡特教练》又名《铁血教练》、《放牛班的严冬》，根据高中篮球队教练肯·卡特的真实故事改编而成。里士满高中篮球队原本从未在任何比赛中获胜过，是一支屡败屡战的队伍，这一切在卡特教练执教之后发生了变化。,
“忘不了”乐团,85000,15,849,95,1370,人文社会,暂无评分,评分人数不足,已完结, 全1集,0,1,简介：“The 5th Dementia”是一个多样化的乐队，由来自不同文化、经济和教育背景的前专业人士组成，他们现在因为疾病而很难记住任何事情。但当音乐响起的时候，他们就变了，那些无法触及的记忆都被解锁了。本片通过独特的个人故事，有鼓舞人心的乐队训练，也有生活中逐渐智力下降的日常，“The 5th Dementia”将通过情感的方式，揭示这一无法解释的现象。,
猎狼人,357000,815,1433,77,549,战争剧情,暂无评分,评分人数不足,已完结, 全30集,0,2,简介：梁冠华在剧中饰演的角色是抗战时期新四军武工队最英勇善战的猎狼部队队长梁本初，绰号“龙王”，在他的带领下，“猎狼人”与日军斗智斗勇，取得了一次次的胜利，同时他也改变了剧中另外几个人一生的命运，算得上是一个带路的先知。卫小雨饰演的钟宁是一个从小立志为父报仇的刚烈女子。机遇巧合下，钟宁认识了梁冠华饰演的“龙王”，并拜他为师，在与老梁的接触中，钟宁学会了很多也明白了很多，最终成为猎狼人部队搏杀日寇的一名优秀战士。韩童生饰演黑帮老大陈枫仁，他为了自己的利益不择手段，甚至不惜以人质为交换利用猎狼人。在被猎狼人击...,
有个地方叫马兰,51000,39,213,12,59,战争历史,暂无评分,评分人数不足,已完结, 全29集,0,0,简介：本剧通过“马兰的孩子们”重走当年路，勾连上世纪60年代初原子弹试验期间发生在马兰的故事。我国马兰核实验基地，原子弹实验进入到关键阶段。为了解除实验部队的后顾之忧，大批科技、保障人员的家属、儿女从全国不同城市进入马兰。初到基地的孩子们，对这里的一切都充满了好奇，他们在学习、生活、玩耍、游戏中渐渐感受着大人们的艰难困苦，以童真童趣对遇到的各类人或事进行着诠释，演绎了一个个令人忍俊不禁、感人至深的故事。直到1964年10月16日原子弹爆炸成功，他们才知道自己的父辈们是在何等艰苦的条件和恶劣的环境中，实现了中国的第一...,
最后征战,162000,65,523,35,146,战争剧情,暂无评分,评分人数不足,已完结, 全43集,0,0,简介：从小失去父母的寻香跟着爷爷一起长大，在一次赌石大会上，寻香发现害死自己父母的恶霸钱有德，于是潜入钱有德家中，为父母报仇，追寻父母遗物“月魄”戒指。萨摩镇解放，被迫成为土匪的寻香设计杀死钱有德，夺回遗物，接受解放军收编。寻香和团长杨忠从小青梅竹马，而保卫干事王坤山从中作梗。王坤山是潜伏在解放军中的蛀虫，一心想要找到萨摩镇中的宝藏。而宝藏的关键就在寻香身上。萨摩山上的土匪，杨忠的亲弟弟杨义对宝藏也垂涎三尺。王坤山和杨义勾结，多次设计陷害，终于让寻香说出宝藏的秘密。在他们寻宝的途中，杨忠率领部队攻下萨摩山...,
大水井风云,40000,10,187,5,49,,暂无评分,评分人数不足,已完结, 全28集,0,0,简介：1940年春，中共地下党员、青年医生覃克源（黄觉饰）受重庆政府指派赴国民湖北省政府所在地恩施创办伤兵医院。到恩施后不久，国内形势急骤恶化，国共合作破裂。在接到组织“长期隐蔽”的命令之后，覃克源不顾个人安危，仍然只身坚持战斗。在对日特的一系列斗争中，覃克源处于日本特务、国民党反共势力、家族纷争、爱情纠葛等错综复杂的矛盾之中，彰显出一名共产主义战士高尚的人格魅力。这是一个洋溢着生命激情的男人，一名医术高超的优秀医务工作者，一位坚定的共产主义战士。在他的引导下，麦苏苏、田斯文等一批青年一步一步走上革命道路。,
红色追剿1949,156000,61,615,27,150,战争剧情,暂无评分,评分人数不足,已完结, 全46集,0,0,简介：颖儿将扮演女主樱桃，双面间谍，本该是甜美的红樱桃，让命运扭曲成一颗传奇、勇敢的黑樱桃。王学兵扮演痴恋樱桃的大匪首向天豹,剽悍讲义气有野心。,
MR.BONE,110000000,31000,98000,133000,3684000,热血搞笑日常战斗,9.7,266,连载中,0,89,简介：我叫MR.BONE，我生活在一个满是脏丝（Zombies）的世界！在最初的混乱过后，随着社会秩序的稳定，人们从脏丝的威胁当中恢复过来，与它们共同生活在这个世界上。找到新工作的我，也在生活的轨迹里认识了形形色色的伙伴。威胁还没消除，社会也没崩盘，而生活当然还要继续。,
归鸿,209000,94,777,46,186,剧情,暂无评分,评分人数不足,已完结, 全34集,0,0,简介：1949年春，国民党政权在大陆节节败退，华航和远航两家航空公司迁移到香港。两航在香港竞争激烈，市场萎缩，面临着巨大的生存压力。一方面，腐败的国民党政府利令智昏，而英美资本势力虎视眈眈，妄图吞并两航资产。两航上下，数千名员工思乡心切，渴望回归即将建立的新中国参与建设。以聂云开、沈希言等为代表的我党各级地下组织成员，在党中央的领导下，深入两航内部，以自己的一腔热血和真情，感化了在历史关头犹豫不决的两航高层。他们积聚人心的同时，有勇有谋地和国民党反动势力巧妙周旋，为此前仆后继，付出了血与火、生与死的代价，终于在1...,
烽火燃情,116000,112,444,25,105,战争剧情历史,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：贵州黔军年轻军官张明堂，是铜仁大商家的公子，他奉命从剿共前线返回家乡，督导追剿正在突围的红军黔东独立师，并开始扩军整编当地驻军，由于他对红军伤员的同情，加之自己恋人黄菲儿的推动，他冒险为红军伤员的撤离提供了便利，但却被知道消息的孙家公子孙如柏告了密，致使红军伤员的撤离彻底失败，张明堂家因此被商业对手孙家所利用而惨遭变故，他自己因通共的罪名被通缉，红军也误把他视为告密的仇家。两难中的张明堂被欣赏自己的桃花寨寨主收留，他决意下山为家复仇，他杀死了陷害他的仇家孙耀祖和驻军头目朱汉春，自己却不幸身陷囹寤，桃...,
红色宝藏,47000,117,253,15,58,剧情,暂无评分,评分人数不足,已完结, 全31集,0,0,简介：在《红色宝藏》这部以齐奎饰演的秦根畅为首的军人，负责转移国家银行设在锁阳的一个金库以及重要的账册、印信、货币母版，结果被粤军堵在了锁阳，这一事件为开端的电视剧，其情节设置步步紧扣是难得的红色题材的电视剧。,
硝烟散尽,41000,347,249,6,46,剧情,暂无评分,评分人数不足,已完结, 全30集,0,0,简介：1950年，解放不久的上海市为安置近万名由乞丐、盗贼、娼妓、黑帮份子、流浪儿童、国民党军政人员及家属子女等组成的游民，将他们迁移到苏北滨海垦荒劳动。转业军人肖天亮受命担任垦区新人村村长，他带领党员干部们用人格的平等和人性的真诚拯救、帮助、教育这批垦民们，树立信念，改造沉睡的盐碱地，种植起庄稼和棉花，使垦民们从失望走向希望，在新人村里拥有了崭新的人生家园。同时，肖天亮他们面对纵火、逃亡、暗杀、绑架等一系列事件，成功地挖出了混入新人村的国民党特务，获取了秘密潜伏名单。肖天亮和乔茹燕的爱情也经受了生与死的考验...,
少林寺传奇之大漠英豪,654000,8109,4239,523,1497,武侠古装剧情,9.5,100,已完结, 全60集,1,48,简介：在少林寺传奇3的演员阵容颇为豪华，除了第一部的李渊、谢苗、孙卉凝、潘元甲等老班底，还加入了嵩山少林寺武僧--徐鹏军（法名：释延君）和武打童星曹骏，全国武术冠军许明虎，以及大哥大--洪金宝的加盟！另外，鲍国安将再次与都晓导演合作，出演《少林寺传奇3》。曾在《少林寺传奇1》中，鲍国安饰演剧中的少林寺方丈，深受观众的喜爱，这次鲍国安老师再次扮演少林寺方丈。计春华则将从以往的反面变身正派！,
我的灿烂人生,407000,1386,2871,155,851,青春剧情,暂无评分,评分人数不足,已完结, 全38集,0,14,简介：自幼丧母的夏睛天（陈彦妃饰）与父亲生活在一起，缺乏母爱的孩子大多有孤独感。天有不测风云，父亲又突然撒手人寰，全部家当被继母林曼怡（翁虹饰）夺走，晴天成了一无所有的穷光蛋。无助的她没有了栖身之所，只能流落街头。一个偶然机会，睛天结识了刘氏集团继承人刘宇浩（言承旭饰），并进入该集团工作，宇浩的奶奶（方芳饰）非常喜欢聪明懂事的晴天。反之，宇浩整日沉溺玩乐，工作中不思进取，奶奶为警酲孙子宣布了一个重要决定，公司全部资产由晴天继承。宇浩闻讯大惊，他不理解奶奶为何做出如此決定，于是在公司內部与晴天展开了针锋相对...,
